fecha,sk_fecha,anio,mes,dia,dia_semana
1954-04-18,303,1954,4,18,6
1954-04-19,304,1954,4,19,0
1954-04-26,305,1954,4,26,0
1954-05-01,306,1954,5,1,5
1954-05-06,307,1954,5,6,3
1954-05-09,308,1954,5,9,6
1954-05-13,309,1954,5,13,3
1954-05-14,310,1954,5,14,4
1954-05-16,311,1954,5,16,6
1954-05-17,312,1954,5,17,0
1954-05-25,313,1954,5,25,1
1954-06-05,314,1954,6,5,5
1954-06-14,315,1954,6,14,0
1954-07-02,316,1954,7,2,4
1954-07-04,317,1954,7,4,6
1954-07-09,318,1954,7,9,4
1954-07-10,319,1954,7,10,5
1954-07-16,320,1954,7,16,4
1954-07-21,321,1954,7,21,2
1954-07-22,322,1954,7,22,3
1954-07-29,323,1954,7,29,3
1954-08-01,324,1954,8,1,6
1954-08-02,325,1954,8,2,0
1954-08-14,326,1954,8,14,5
1954-08-24,327,1954,8,24,1
1954-08-27,328,1954,8,27,4
1954-09-01,329,1954,9,1,2
1954-09-05,330,1954,9,5,6
1954-09-06,331,1954,9,6,0
1954-09-07,332,1954,9,7,1
1954-09-08,333,1954,9,8,2
1954-09-10,334,1954,9,10,4
1954-09-13,335,1954,9,13,0
1954-09-18,336,1954,9,18,5
1954-09-19,337,1954,9,19,6
1954-09-29,338,1954,9,29,2
1954-10-07,339,1954,10,7,3
1954-10-09,340,1954,10,9,5
1954-10-16,341,1954,10,16,5
1954-10-19,342,1954,10,19,1
1954-10-21,343,1954,10,21,3
1954-10-25,344,1954,10,25,0
1954-11-06,345,1954,11,6,5
1954-11-07,346,1954,11,7,6
1954-11-10,347,1954,11,10,2
1954-11-13,348,1954,11,13,5
1954-11-18,349,1954,11,18,3
1954-11-20,350,1954,11,20,5
1954-11-27,351,1954,11,27,5
1954-11-30,352,1954,11,30,1
1954-12-04,353,1954,12,4,5
1954-12-05,354,1954,12,5,6
1954-12-06,355,1954,12,6,0
1954-12-28,356,1954,12,28,1
1955-01-07,357,1955,1,7,4
1955-01-08,358,1955,1,8,5
1955-01-10,359,1955,1,10,0
1955-01-14,360,1955,1,14,4
1955-01-19,361,1955,1,19,2
1955-01-21,362,1955,1,21,4
1955-01-24,363,1955,1,24,0
1955-01-25,364,1955,1,25,1
1955-01-26,365,1955,1,26,2
1955-01-29,366,1955,1,29,5
1955-02-07,367,1955,2,7,0
1955-02-08,368,1955,2,8,1
1955-02-10,369,1955,2,10,3
1955-02-20,370,1955,2,20,6
1955-03-05,371,1955,3,5,5
1955-03-07,372,1955,3,7,0
1955-03-10,373,1955,3,10,3
1955-03-19,374,1955,3,19,5
1955-03-22,375,1955,3,22,1
1955-03-27,376,1955,3,27,6
1955-03-29,377,1955,3,29,1
1955-04-05,378,1955,4,5,1
1955-04-08,379,1955,4,8,4
1955-04-12,380,1955,4,12,1
1955-04-14,381,1955,4,14,3
1955-04-15,382,1955,4,15,4
1955-04-18,383,1955,4,18,0
1955-05-02,384,1955,5,2,0
1955-05-09,385,1955,5,9,0
1955-05-15,386,1955,5,15,6
1955-05-20,387,1955,5,20,4
1955-05-22,388,1955,5,22,6
1955-05-24,389,1955,5,24,1
1955-05-30,390,1955,5,30,0
1955-06-01,391,1955,6,1,2
1955-06-07,392,1955,6,7,1
1955-06-13,393,1955,6,13,0
1955-06-15,394,1955,6,15,2
1955-06-26,395,1955,6,26,6
1955-07-01,396,1955,7,1,4
1955-07-05,397,1955,7,5,1
1955-07-08,398,1955,7,8,4
1955-07-12,399,1955,7,12,1
1955-07-15,400,1955,7,15,4
1955-07-29,401,1955,7,29,4
1955-07-30,402,1955,7,30,5
1955-07-31,403,1955,7,31,6
1955-08-12,404,1955,8,12,4
1955-08-13,405,1955,8,13,5
1955-08-18,406,1955,8,18,3
1955-08-20,407,1955,8,20,5
1955-08-24,408,1955,8,24,2
1955-08-26,409,1955,8,26,4
1955-08-27,410,1955,8,27,5
1955-09-05,411,1955,9,5,0
1955-09-11,412,1955,9,11,6
1955-09-13,413,1955,9,13,1
1955-09-21,414,1955,9,21,2
1955-09-26,415,1955,9,26,0
1955-09-27,416,1955,9,27,1
1955-10-03,417,1955,10,3,0
1955-10-06,418,1955,10,6,3
1955-10-09,419,1955,10,9,6
1955-10-11,420,1955,10,11,1
1955-10-14,421,1955,10,14,4
1955-10-16,422,1955,10,16,6
1955-10-19,423,1955,10,19,2
1955-10-22,424,1955,10,22,5
1955-10-29,425,1955,10,29,5
1955-11-03,426,1955,11,3,3
1955-11-07,427,1955,11,7,0
1955-11-21,428,1955,11,21,0
1955-11-23,429,1955,11,23,2
1955-11-24,430,1955,11,24,3
1955-11-25,431,1955,11,25,4
1955-11-28,432,1955,11,28,0
1955-11-29,433,1955,11,29,1
1955-12-03,434,1955,12,3,5
1955-12-12,435,1955,12,12,0
1955-12-15,436,1955,12,15,3
1955-12-30,437,1955,12,30,4
1955-12-31,438,1955,12,31,5
1956-01-02,439,1956,1,2,0
1956-01-16,440,1956,1,16,0
1956-01-18,441,1956,1,18,2
1956-01-21,442,1956,1,21,5
1956-01-26,443,1956,1,26,3
1956-02-01,444,1956,2,1,2
1956-02-04,445,1956,2,4,5
1956-02-07,446,1956,2,7,1
1956-02-12,447,1956,2,12,6
1956-02-22,448,1956,2,22,2
1956-03-02,449,1956,3,2,4
1956-03-05,450,1956,3,5,0
1956-03-06,451,1956,3,6,1
1956-03-11,452,1956,3,11,6
1956-03-20,453,1956,3,20,1
1956-03-21,454,1956,3,21,2
1956-03-29,455,1956,3,29,3
1956-04-02,456,1956,4,2,0
1956-04-12,457,1956,4,12,3
1956-04-17,458,1956,4,17,1
1956-04-20,459,1956,4,20,4
1956-04-26,460,1956,4,26,3
1956-04-27,461,1956,4,27,4
1956-05-03,462,1956,5,3,3
1956-05-08,463,1956,5,8,1
1956-05-09,464,1956,5,9,2
1956-05-25,465,1956,5,25,4
1956-05-29,466,1956,5,29,1
1956-06-04,467,1956,6,4,0
1956-06-06,468,1956,6,6,2
1956-06-10,469,1956,6,10,6
1956-06-12,470,1956,6,12,1
1956-06-14,471,1956,6,14,3
1956-06-16,472,1956,6,16,5
1956-06-19,473,1956,6,19,1
1956-06-25,474,1956,6,25,0
1956-06-28,475,1956,6,28,3
1956-07-03,476,1956,7,3,1
1956-07-14,477,1956,7,14,5
1956-07-16,478,1956,7,16,0
1956-07-21,479,1956,7,21,5
1956-07-26,480,1956,7,26,3
1956-08-04,481,1956,8,4,5
1956-08-05,482,1956,8,5,6
1956-08-08,483,1956,8,8,2
1956-08-12,484,1956,8,12,6
1956-08-27,485,1956,8,27,0
1956-09-02,486,1956,9,2,6
1956-09-04,487,1956,9,4,1
1956-09-05,488,1956,9,5,2
1956-09-14,489,1956,9,14,4
1956-09-18,490,1956,9,18,1
1956-09-21,491,1956,9,21,4
1956-09-28,492,1956,9,28,4
1956-09-30,493,1956,9,30,6
1956-10-03,494,1956,10,3,2
1956-10-08,495,1956,10,8,0
1956-10-09,496,1956,10,9,1
1956-10-10,497,1956,10,10,2
1956-10-11,498,1956,10,11,3
1956-10-18,499,1956,10,18,3
1956-10-20,500,1956,10,20,5
1956-11-04,501,1956,11,4,6
1956-11-05,502,1956,11,5,0
1956-11-14,503,1956,11,14,2
1956-11-23,504,1956,11,23,4
1956-11-24,505,1956,11,24,5
1956-12-04,506,1956,12,4,1
1956-12-11,507,1956,12,11,1
1956-12-15,508,1956,12,15,5
1956-12-16,509,1956,12,16,6
1956-12-23,510,1956,12,23,6
1956-12-29,511,1956,12,29,5
1957-01-06,512,1957,1,6,6
1957-01-07,513,1957,1,7,0
1957-01-10,514,1957,1,10,3
1957-01-11,515,1957,1,11,4
1957-01-22,516,1957,1,22,1
1957-01-26,517,1957,1,26,5
1957-02-01,518,1957,2,1,4
1957-02-04,519,1957,2,4,0
1957-02-13,520,1957,2,13,2
1957-02-14,521,1957,2,14,3
1957-02-18,522,1957,2,18,0
1957-02-22,523,1957,2,22,4
1957-03-04,524,1957,3,4,0
1957-03-10,525,1957,3,10,6
1957-03-12,526,1957,3,12,1
1957-03-14,527,1957,3,14,3
1957-03-27,528,1957,3,27,2
1957-03-30,529,1957,3,30,5
1957-03-31,530,1957,3,31,6
1957-04-06,531,1957,4,6,5
1957-04-07,532,1957,4,7,6
1957-04-13,533,1957,4,13,5
1957-05-03,534,1957,5,3,4
1957-05-11,535,1957,5,11,5
1957-06-05,536,1957,6,5,2
1957-06-11,537,1957,6,11,1
1957-06-13,538,1957,6,13,3
1957-06-15,539,1957,6,15,5
1957-06-18,540,1957,6,18,1
1957-06-23,541,1957,6,23,6
1957-06-27,542,1957,6,27,3
1957-07-05,543,1957,7,5,4
1957-07-22,544,1957,7,22,0
1957-07-26,545,1957,7,26,4
1957-08-01,546,1957,8,1,3
1957-08-02,547,1957,8,2,4
1957-08-04,548,1957,8,4,6
1957-08-10,549,1957,8,10,5
1957-08-21,550,1957,8,21,2
1957-08-27,551,1957,8,27,1
1957-08-29,552,1957,8,29,3
1957-08-30,553,1957,8,30,4
1957-09-04,554,1957,9,4,2
1957-09-06,555,1957,9,6,4
1957-09-07,556,1957,9,7,5
1957-09-08,557,1957,9,8,6
1957-09-09,558,1957,9,9,0
1957-09-17,559,1957,9,17,1
1957-09-22,560,1957,9,22,6
1957-09-25,561,1957,9,25,2
1957-10-03,562,1957,10,3,3
1957-10-06,563,1957,10,6,6
1957-10-07,564,1957,10,7,0
1957-10-13,565,1957,10,13,6
1957-10-17,566,1957,10,17,3
1957-10-19,567,1957,10,19,5
1957-10-20,568,1957,10,20,6
1957-10-25,569,1957,10,25,4
1957-11-06,570,1957,11,6,2
1957-11-13,571,1957,11,13,2
1957-11-14,572,1957,11,14,3
1957-11-15,573,1957,11,15,4
1957-11-23,574,1957,11,23,5
1957-11-26,575,1957,11,26,1
1957-11-28,576,1957,11,28,3
1957-12-16,577,1957,12,16,0
1957-12-19,578,1957,12,19,3
1957-12-26,579,1957,12,26,3
1958-01-03,580,1958,1,3,4
1958-01-14,581,1958,1,14,1
1958-01-22,582,1958,1,22,2
1958-01-24,583,1958,1,24,4
1958-01-29,584,1958,1,29,2
1958-02-01,585,1958,2,1,5
1958-02-07,586,1958,2,7,4
1958-03-10,587,1958,3,10,0
1958-03-13,588,1958,3,13,3
1958-03-23,589,1958,3,23,6
1958-03-26,590,1958,3,26,2
1958-03-28,591,1958,3,28,4
1958-03-31,592,1958,3,31,0
1958-04-03,593,1958,4,3,3
1958-04-10,594,1958,4,10,3
1958-04-17,595,1958,4,17,3
1958-04-18,596,1958,4,18,4
1958-04-27,597,1958,4,27,6
1958-05-05,598,1958,5,5,0
1958-05-14,599,1958,5,14,2
1958-05-17,600,1958,5,17,5
1958-05-18,601,1958,5,18,6
1958-06-01,602,1958,6,1,6
1958-06-02,603,1958,6,2,0
1958-06-13,604,1958,6,13,4
1958-06-16,605,1958,6,16,0
1958-07-11,606,1958,7,11,4
1958-07-13,607,1958,7,13,6
1958-07-14,608,1958,7,14,0
1958-07-17,609,1958,7,17,3
1958-07-26,610,1958,7,26,5
1958-07-30,611,1958,7,30,2
1958-08-03,612,1958,8,3,6
1958-08-04,613,1958,8,4,0
1958-08-17,614,1958,8,17,6
1958-08-21,615,1958,8,21,3
1958-08-25,616,1958,8,25,0
1958-08-27,617,1958,8,27,2
1958-08-29,618,1958,8,29,4
1958-09-02,619,1958,9,2,1
1958-09-07,620,1958,9,7,6
1958-09-11,621,1958,9,11,3
1958-09-16,622,1958,9,16,1
1958-09-24,623,1958,9,24,2
1958-09-25,624,1958,9,25,3
1958-10-18,625,1958,10,18,5
1958-10-21,626,1958,10,21,1
1958-10-26,627,1958,10,26,6
1958-10-28,628,1958,10,28,1
1958-11-12,629,1958,11,12,2
1958-11-13,630,1958,11,13,3
1958-11-16,631,1958,11,16,6
1958-11-25,632,1958,11,25,1
1958-12-01,633,1958,12,1,0
1958-12-02,634,1958,12,2,1
1958-12-06,635,1958,12,6,5
1958-12-18,636,1958,12,18,3
1958-12-19,637,1958,12,19,4
1958-12-24,638,1958,12,24,2
1958-12-26,639,1958,12,26,4
1958-12-31,640,1958,12,31,2
1959-01-03,641,1959,1,3,5
1959-01-05,642,1959,1,5,0
1959-01-10,643,1959,1,10,5
1959-01-12,644,1959,1,12,0
1959-01-17,645,1959,1,17,5
1959-01-20,646,1959,1,20,1
1959-02-02,647,1959,2,2,0
1959-02-04,648,1959,2,4,2
1959-02-09,649,1959,2,9,0
1959-02-15,650,1959,2,15,6
1959-02-16,651,1959,2,16,0
1959-02-19,652,1959,2,19,3
1959-02-20,653,1959,2,20,4
1959-02-22,654,1959,2,22,6
1959-02-26,655,1959,2,26,3
1959-03-14,656,1959,3,14,5
1959-03-16,657,1959,3,16,0
1959-03-21,658,1959,3,21,5
1959-03-25,659,1959,3,25,2
1959-04-03,660,1959,4,3,4
1959-04-06,661,1959,4,6,0
1959-04-08,662,1959,4,8,2
1959-04-09,663,1959,4,9,3
1959-04-12,664,1959,4,12,6
1959-04-13,665,1959,4,13,0
1959-04-18,666,1959,4,18,5
1959-04-25,667,1959,4,25,5
1959-05-03,668,1959,5,3,6
1959-05-05,669,1959,5,5,1
1959-05-10,670,1959,5,10,6
1959-05-16,671,1959,5,16,5
1959-05-20,672,1959,5,20,2
1959-06-02,673,1959,6,2,1
1959-06-03,674,1959,6,3,2
1959-06-06,675,1959,6,6,5
1959-06-16,676,1959,6,16,1
1959-06-22,677,1959,6,22,0
1959-06-23,678,1959,6,23,1
1959-06-25,679,1959,6,25,3
1959-06-26,680,1959,6,26,4
1959-06-28,681,1959,6,28,6
1959-07-03,682,1959,7,3,4
1959-07-07,683,1959,7,7,1
1959-07-14,684,1959,7,14,1
1959-07-30,685,1959,7,30,3
1959-08-08,686,1959,8,8,5
1959-08-18,687,1959,8,18,1
1959-08-20,688,1959,8,20,3
1959-08-21,689,1959,8,21,4
1959-08-25,690,1959,8,25,1
1959-08-31,691,1959,8,31,0
1959-09-01,692,1959,9,1,1
1959-09-06,693,1959,9,6,6
1959-09-10,694,1959,9,10,3
1959-09-19,695,1959,9,19,5
1959-09-21,696,1959,9,21,0
1959-09-23,697,1959,9,23,2
1959-09-25,698,1959,9,25,4
1959-10-06,699,1959,10,6,1
1959-10-09,700,1959,10,9,4
1959-10-15,701,1959,10,15,3
1959-10-17,702,1959,10,17,5
1959-10-21,703,1959,10,21,2
1959-10-22,704,1959,10,22,3
1959-10-26,705,1959,10,26,0
1959-10-29,706,1959,10,29,3
1959-10-30,707,1959,10,30,4
1959-11-02,708,1959,11,2,0
1959-11-06,709,1959,11,6,4
1959-11-08,710,1959,11,8,6
1959-11-11,711,1959,11,11,2
1959-11-15,712,1959,11,15,6
1959-11-16,713,1959,11,16,0
1959-11-19,714,1959,11,19,3
1959-11-23,715,1959,11,23,0
1959-11-25,716,1959,11,25,2
1959-11-26,717,1959,11,26,3
1959-12-09,718,1959,12,9,2
1959-12-10,719,1959,12,10,3
1959-12-16,720,1959,12,16,2
1959-12-18,721,1959,12,18,4
1959-12-28,722,1959,12,28,0
1960-01-03,723,1960,1,3,6
1960-01-05,724,1960,1,5,1
1960-01-17,725,1960,1,17,6
1960-02-05,726,1960,2,5,4
1960-02-14,727,1960,2,14,6
1960-02-20,728,1960,2,20,5
1960-02-23,729,1960,2,23,1
1960-02-24,730,1960,2,24,2
1960-02-29,731,1960,2,29,0
1960-03-07,732,1960,3,7,0
1960-03-16,733,1960,3,16,2
1960-03-17,734,1960,3,17,3
1960-03-19,735,1960,3,19,5
1960-03-20,736,1960,3,20,6
1960-03-21,737,1960,3,21,0
1960-04-04,738,1960,4,4,0
1960-04-08,739,1960,4,8,4
1960-04-09,740,1960,4,9,5
1960-04-15,741,1960,4,15,4
1960-04-16,742,1960,4,16,5
1960-04-19,743,1960,4,19,1
1960-04-22,744,1960,4,22,4
1960-04-23,745,1960,4,23,5
1960-05-01,746,1960,5,1,6
1960-05-18,747,1960,5,18,2
1960-05-23,748,1960,5,23,0
1960-05-24,749,1960,5,24,1
1960-05-27,750,1960,5,27,4
1960-06-02,751,1960,6,2,3
1960-06-08,752,1960,6,8,2
1960-06-13,753,1960,6,13,0
1960-06-15,754,1960,6,15,2
1960-06-20,755,1960,6,20,0
1960-07-03,756,1960,7,3,6
1960-07-04,757,1960,7,4,0
1960-07-06,758,1960,7,6,2
1960-07-09,759,1960,7,9,5
1960-07-24,760,1960,7,24,6
1960-07-28,761,1960,7,28,3
1960-07-29,762,1960,7,29,4
1960-08-03,763,1960,8,3,2
1960-08-05,764,1960,8,5,4
1960-08-07,765,1960,8,7,6
1960-08-08,766,1960,8,8,0
1960-08-31,767,1960,8,31,2
1960-09-03,768,1960,9,3,5
1960-09-04,769,1960,9,4,6
1960-09-08,770,1960,9,8,3
1960-09-19,771,1960,9,19,0
1960-10-08,772,1960,10,8,5
1960-11-09,773,1960,11,9,2
1960-11-22,774,1960,11,22,1
